Year,Rank,Name
1999,1,Michael Jordan
1999,2,Oprah Winfrey
1999,3,Leonardo DiCaprio
1999,4,Jerry Seinfeld
1999,5,Steven Spielberg
1999,6,Spice Girls
1999,7,Harrison Ford
1999,8,Robin Williams
1999,9,Céline Dion
1999,10,The Rolling Stones
2000,1,Julia Roberts
2000,2,George Lucas
2000,3,Oprah Winfrey
2000,4,Tom Hanks
2000,5,Michael Jordan
2000,6,The Rolling Stones
2000,7,Tiger Woods
2000,8,Backstreet Boys
2000,9,Cher
2000,10,Steven Spielberg
2001,1,Tom Cruise
2001,2,Tiger Woods
2001,3,The Beatles
2001,4,Britney Spears
2001,5,Bruce Willis
2001,6,Michael Jordan
2001,7,Backstreet Boys
2001,8,NSYNC
2001,9,Oprah Winfrey
2001,10,Mel Gibson
2002,1,Britney Spears
2002,2,Tiger Woods
2002,3,Steven Spielberg
2002,4,Madonna
2002,5,U2
2002,6,NSYNC
2002,7,Mariah Carey
2002,8,Oprah Winfrey
2002,9,Michael Jordan
2002,10,Tom Hanks
2003,1,Jennifer Aniston
2003,2,Eminem and Dr. Dre
2003,3,Tiger Woods
2003,4,Steven Spielberg
2003,5,Jennifer Lopez
2003,6,Paul McCartney
2003,7,Ben Affleck
2003,8,Oprah Winfrey
2003,9,Tom Hanks
2003,10,The Rolling Stones
2004,1,Mel Gibson
2004,2,Tiger Woods
2004,3,Oprah Winfrey
2004,4,Tom Cruise
2004,5,The Rolling Stones
2004,6,J.K. Rowling
2004,7,Michael Jordan
2004,8,Bruce Springsteen
2004,9,Steven Spielberg
2004,10,Johnny Depp
2005,1,Oprah Winfrey
2005,2,Tiger Woods
2005,3,Mel Gibson
2005,4,George Lucas
2005,5,Shaquille O'Neal
2005,6,Steven Spielberg
2005,7,Johnny Depp
2005,8,Madonna
2005,9,Elton John
2005,10,Tom Cruise
2005,11,Brad Pitt
2005,12,Dan Brown
2005,13,Will Smith
2005,14,David Letterman
2005,15,Lance Armstrong
2005,16,Michael Jordan
2005,17,Michael Schumacher
2005,18,Will Ferrell
2005,19,Kobe Bryant
2005,20,P Diddy
2005,21,Jay Leno
2005,22,J.K. Rowling
2005,23,Metallica
2005,24,Jennifer Lopez
2005,25,Desperate Housewives
2005,26,David Beckham
2005,27,Howard Stern
2005,28,Rush Limbaugh
2005,29,Shania Twain
2005,30,Peter Jackson
2005,31,Denzel Washington
2005,32,Rod Stewart
2005,33,Michael Vick
2005,34,Bette Midler
2005,35,The Olsen Twins
2005,36,Jerry Bruckheimer
2005,37,Jennifer Aniston
2005,38,Derek Jeter
2005,38,Julia Roberts
2005,40,Prince
2005,41,David Copperfield
2005,42,Tobey Maguire
2005,43,The Eagles
2005,44,Ray Romano
2005,45,Nicole Kidman
2005,46,Jeff Gordon
2005,47,Phil Mickelson
2005,48,Alex Rodriguez
2005,49,Matt Damon
2005,50,Adam Sandler
2005,51,Oscar De La Hoya
2005,52,Lindsay Lohan
2005,53,LeBron James
2005,54,Hilary Duff
2005,55,Paris Hilton
2005,56,Bill Clinton
2005,57,Maria Sharapova
2005,58,Drew Barrymore
2005,59,Andre Agassi
2005,60,Manny Ramirez
2005,61,Van Halen
