Year,Rank,Name,Category
2014,1,Jennifer Lawrence,People
2014,2,Kim Kardashian,People
2014,3,Tracy Morgan,People
2014,4,Ray Rice,People
2014,5,Tony Stewart,People
2014,6,Iggy Azalea,People
2014,7,Donald Sterling,People
2014,8,Adrian Peterson,People
2014,9,Zene Zellweger,People
2014,10,Jared Leto,People
2014,1,Jared Leto,Actors
2014,2,Matthew McConaughey,Actors
2014,3,Macaulay Culkin,Actors
2014,4,Chris Pratt,Actors
2014,5,Theo James,Actors
2014,6,Ansel Elgort,Actors
2014,7,Jamie Dornan,Actors
2014,8,Alfonso Ribeiro,Actors
2014,9,James McAvoy,Actors
2014,10,Laurence Fishburne,Actors
2014,1,Jennifer Lawrence,Actresses
2014,2,Renee Zellweger,Actresses
2014,3,Betty White,Actresses
2014,4,Ellen Page,Actresses
2014,5,Kim Novak,Actresses
2014,6,Margot Robbie,Actresses
2014,7,Jacqueline Bisset,Actresses
2014,8,Lena Dunham,Actresses
2014,9,Melanie Griffith,Actresses
2014,10,Lea Thompson,Actresses
2014,1,Ray Rice,Athletes
2014,2,Adrian Peterson,Athletes
2014,3,Richard Sherman,Athletes
2014,4,Paul George,Athletes
2014,5,Carmelo Anthony,Athletes
2014,6,Derek Jeter,Athletes
2014,7,Johnny Manziel,Athletes
2014,8,Russell Wilson,Athletes
2014,9,Tony Gwynn,Athletes
2014,10,Tim Howard,Athletes
2014,1,Iggy Azalea,Music Artists
2014,2,Lorde,Music Artists
2014,3,Sam Smith,Music Artists
2014,4,Meghan Trainor,Music Artists
2014,5,Solange Knowles,Music Artists
2014,6,Nicki Minaj,Music Artists
2014,7,Weird Al,Music Artists
2014,8,Sia,Music Artists
2014,9,Daft Punk,Music Artists
2014,10,Taylor Swift,Music Artists
2013,1,Paul Walker,"People, Trending"
2013,2,Cory Monteith,"People, Trending"
2013,3,Aaron Hernandez,"People, Trending"
2013,4,Adrian Peterson,"People, Trending"
2013,5,Miley Cyrus,"People, Trending"
2013,6,James Gandolfini,"People, Trending"
2013,7,Paula Deen,"People, Trending"
2013,8,Mindy McCready,"People, Trending"
2013,9,Trayvon Martin,"People, Trending"
2013,10,Amanda Bynes,"People, Trending"
2013,1,Miley Cyrus,"People, Most Searched"
2013,2,Drake,"People, Most Searched"
2013,3,Kim Kardashian,"People, Most Searched"
2013,4,Justin Bieber,"People, Most Searched"
2013,5,Beyonce,"People, Most Searched"
2013,6,Rihanna,"People, Most Searched"
2013,7,Taylor Swift,"People, Most Searched"
2013,8,Selena Gomez,"People, Most Searched"
2013,9,Katy Perry,"People, Most Searched"
2013,10,Kanye West,"People, Most Searched"
2013,1,Cory Monteith,Performing Artists
2013,2,Amanda Bynes,Performing Artists
2013,3,James Gandolfini,Performing Artists
2013,4,Charlie Hunnam,Performing Artists
2013,5,Robin Thicke,Performing Artists
2013,6,Lea Michele,Performing Artists
2013,7,Miley Cyrus,Performing Artists
2013,8,Mindy McCready,Performing Artists
2013,9,Daft Punk,Performing Artists
2013,10,Dakota Johnson,Performing Artists
2013,1,Luke,Boy Names
2013,2,Austin,Boy Names
2013,3,Jackson,Boy Names
2013,4,Adrian,Boy Names
2013,5,Jordan,Boy Names
2013,6,Alexander,Boy Names
2013,7,Carson,Boy Names
2013,8,Cameron,Boy Names
2013,9,Christopher,Boy Names
2013,10,Cooper,Boy Names
2013,1,Fallon,Girl Names
2013,2,Chloe,Girl Names
2013,3,Jaden,Girl Names
2013,4,Harper,Girl Names
2013,5,Logan ,Girl Names
2013,6,Emma,Girl Names
2013,7,Cadenza,Girl Names
2013,8,Lily,Girl Names
2013,9,Sloane,Girl Names
2013,10,Mia,Girl Names
2013,1,Aaron Hernandez,Athletes
2013,2,Adrian Peterson,Athletes
2013,3,Kevin Ware,Athletes
2013,4,Jason Collins,Athletes
2013,5,Oscar Pistorius,Athletes
2013,6,Lamar Odom,Athletes
2013,7,Richie Incognito,Athletes
2013,8,Ray Lewis,Athletes
2013,9,Colin Kaepernick,Athletes
2013,10,Lindsey Vonn,Athletes
2013,1,Miley Cyrus,Music Artists
2013,2,Cory Monteith,Music Artists
2013,3,Justin Timberlake,Music Artists
2013,4,Robin Thicke,Music Artists
2013,5,Ariana Grande,Music Artists
2013,6,Macklemore,Music Artists
2013,7,Beyonce,Music Artists
2013,8,Pink,Music Artists
2013,9,Daft Punk,Music Artists
2013,10,Mindy McCready,Music Artists
